場所名稱,場所縣市,場所區域,場所地址,場所分類,場所類型,其他類型,場所描述,AED放置地點,AED地點描述,地點LAT,地點LNG,全年全天開放大眾使用,周一至周五起,周一至周五迄,周六起,周六迄,周日起,周日迄,開放使用時間備註,開放時間緊急連絡電話
臺北市政府警察局中山分局民權一派出所,台北市,中山區,新生北路二段127之1號,其他,其他場所,公家機關(警察),臺北市政府警察局中山分局民權一派出所,派出所內，詳洽值班台,派出所內，詳洽值班台,25.059955,121.527944,X,00:00,23:59,00:00,23:59,00:00,23:59,警政駐地，詳洽值班台,02-25314671
CURVES女性30分鐘環狀運動新莊中港店,新北市,新莊區,中港路306號5樓,學校、集會場所或特殊機構,健身房,,Curves為全世界最大的健身品牌，專為女性量身訂作的環狀運動健身中心，結合【肌肉+有氧+伸展】的運動方式讓女性在30 分鐘之內達到健身房90分鐘的運動效果。,運動圈旁,新北市新莊區中港路306號5樓(麥當勞樓上),25.045181,121.452685,X,15:00,21:00,10:00,13:00,,,禮拜日不開放,(02)2279-1016
臺北市政府警察局中山分局,台北市,中山區,中山北路2段1號,其他,其他場所,公家機關(警察),,1樓大廳出入口右側,1樓大廳出入口右側,25.052488,121.522842,X,00:00,23:59,00:00,23:59,00:00,23:59,,02-25415341
高雄市中正國民小學,高雄市,苓雅區,輔仁路100號,學校、集會場所或特殊機構,國小,,,校門口玄關,校門口玄關願景牆左邊,22.629891,120.333472,X,00:00,00:00,00:00,00:00,00:00,00:00,,077225936*711
臺北市政府警察局中山分局大直派出所,台北市,中山區,北安路456號,其他,其他場所,公家機關(警察),,大門口旁,進門後右手邊即可看到AED,25.079511,121.544124,X,00:00,23:59,00:00,23:59,00:00,23:59,,02-25332984
Curves女性專用30分鐘健身中心士林店,台北市,士林區,中山北路五段687號2樓之1,學校、集會場所或特殊機構,健身房,運動教室,,櫃檯內,CURVES女性30分鐘健身中心士林店櫃台,25.097215,121.527219,X,16:00,21:00,09:00,12:00,,,,02-28341248
高雄市瑞豐國小,高雄市,前鎮區,瑞隆路100號,學校、集會場所或特殊機構,國小,,,傳達室,放置於傳達室內,22.599902,120.335956,X,05:00,21:30,07:00,16:00,07:00,16:00,,07-7110846轉6036
Curves 女性專用30分鐘健身中心南京小巨蛋店,台北市,松山區,南京東路4段50號4樓之2,學校、集會場所或特殊機構,健身房,,,伸展區前方,櫃台旁，運動圈50公分左右，伸展區前方。,25.05143,121.55342,X,11:00,20:30,10:00,13:00,,,,02-25798181
彰化縣永靖鄉永靖國小,彰化縣,永靖鄉,中山路2段65號,學校、集會場所或特殊機構,國小,,成美文化園區的對面,良朋樓一樓健康中心前,良朋樓一樓健康中心前走廊,23.92105,120.547096,X,00:00,00:00,00:00,00:00,00:00,00:00,,048221812-808
台灣人壽高雄分公司,高雄市,新興區,六合二路1號17樓,其他,其他場所,辦公場所,,辦公室客服區,台灣人壽大樓17F高雄分公司客服區,22.632753,120.3016,X,08:30,18:00,,,,,,星期一至五，電話072863087
臺北市政府警察局北投分局公園派出所,台北市,北投區,紗帽路110號,其他,其他場所,公家機關(警察),派出所位於前往陽明山之交通要衝，附近有男女公共浴池及前山公園。,門口旁,放置於近門口地帶之角落,25.148752,121.548615,X,00:00,23:59,00:00,23:59,00:00,23:59,,02-28610145
彰化縣立南興國民小學,彰化縣,彰化市,南興里中山路一段213號,學校、集會場所或特殊機構,國小,,南興國小新校門進入右方學生活動中心門左側牆壁上,學生活動中心門口旁,南興國小新校門進入右方學生活動中心門左側牆壁上,24.058759,120.533334,X,05:30,22:00,05:30,22:00,05:30,22:00,,04-7622827-228
彰化縣永靖鄉德興國民小學,彰化縣,永靖鄉,竹子村竹後巷47號,學校、集會場所或特殊機構,國小,,本校位於永靖鄉竹子村，與溪湖鎮、田尾鄉緊鄰處。,本校教室大樓一樓川堂，緊鄰健康中心。,教室大樓為一字型，中間有川堂，AED設於川堂，教室大樓前後操場取用皆方便。,23.930112,120.503188,X,00:00,23:59,00:00,23:59,00:00,23:59,學校正大門全年全日開放，六日、學校無人員留守。管理人0933557618,04-8222158
桃園市復興區義盛國民小學,桃園市,復興區,義盛里1鄰11號,學校、集會場所或特殊機構,國小,,,義盛國小教學大樓走廊,教學大樓一樓，辦公室外走廊,24.759579,121.388467,X,07:00,16:00,,,,,,03-3822787
彰化縣東山國民小學,彰化縣,員林市,彰化縣員林鎮南東里山腳路四段212號,學校、集會場所或特殊機構,國小,,彰化縣員林鎮東山國民小學(員林鎮南東理山腳路四段212號,南側走廊,位於員林市山腳路4段212號的東山國小健康中心前走廊,23.968063,120.601837,X,00:00,00:00,00:00,00:00,00:00,00:00,全年無休全天開放,04-8310749
彰化縣社頭鄉湳雅國民小學,彰化縣,社頭鄉,山腳路三段395號,學校、集會場所或特殊機構,國小,,山腳路上之湳雅國小,湳雅國小巡迴班教室外面之走廊壁面上。,自動體外心臟電擊去顫器(AED)置於北棟一樓巡迴班教室外之走廊壁面上。,23.920378,120.603151,X,00:00,23:59,00:00,23:59,00:00,23:59,,04-8735007
彰化縣二林鎮新生國民小學,彰化縣,二林鎮,趙甲里鎮平巷59號,學校、集會場所或特殊機構,國小,,彰化二林新生國小辦公室旁的中廊的消防栓上,新生國小中廊,操場旁的中廊(1樓)消防栓上,23.93756,120.394669,X,07:30,19:00,08:00,19:00,08:00,19:00,,04-8964330
彰化縣溪州鄉圳寮國小,彰化縣,溪州鄉,溪州鄉圳寮村下樹巷29號,學校、集會場所或特殊機構,國小,,彰化縣溪州鄉圳寮村下樹巷29號-圳寮國小,教師辦公室走廊,圳寮國小教師辦公室走廊,23.839087,120.522846,X,00:00,23:59,00:00,23:59,00:00,23:59,全天開放,全天開放
行政院農業委員會林務局嘉義林區管理處鰲鼓濕地森林園區東石自然生態展示館,嘉義縣,東石鄉,鰲鼓村四股54號,觀光旅遊地區,森林遊樂區,,,東石自然生態展示館,服務台正前方,23.508471,120.15938,X,09:00,16:30,09:00,16:30,09:00,16:30,星期一及除夕休館,09:00~16:30
新北市政府警察局中和分局中原派出所,新北市,中和區,立德街60號,其他,其他場所,警察機關,本場所24小時服務。,派出所一樓,進大門右側民眾等候區,25.007592,121.488244,X,00:00,23:59,00:00,23:59,00:00,23:59,,02-22213029
新北市政府警察局中和分局積穗派出所,新北市,中和區,員山路471號,其他,其他場所,派出所,本場所24小時服務。,派出所一樓,進大門右側,25.0048,121.480274,X,00:00,23:59,00:00,23:59,00:00,23:59,,02-22268955
新北市政府警察局中和分局員山派出所,新北市,中和區,員山路235巷1號,其他,其他場所,警察機關,本場所24小時服務。,一樓進大門左側民眾等候區,派出所一樓進大門左側民眾等候區,24.998279,121.480946,X,00:00,23:59,00:00,23:59,00:00,23:59,,02-22237295
桃苗汽車股份有限公司-lexus新竹廠,新竹市,東區,中華路一段303號,其他,其他場所,公司,新竹市中華路一段303號,結帳櫃檯前方,結帳櫃檯前方玻璃門旁,24.809987,120.98434,X,08:00,18:00,08:00,18:00,08:00,18:00,,03-5342000
南投縣水里鄉衛生所,南投縣,水里鄉,北埔村博愛路205號,其他,其他場所,衛生所,,南投縣水里鄉衛生所所內,"位於跟診處左方牆上,地下室通往一樓出口處,電梯右側面牆上",23.810418,120.848942,X,08:00,17:00,,,,,,(049)2770079
高雄市前鎮區復興國民小學,高雄市,前鎮區,民權二路331號,學校、集會場所或特殊機構,國小,,,玄關,大門進入後在穿堂玄關,22.608282,120.311687,X,,,,,,,全天,3351784#722
新北市三峽區三峽國民小學,新北市,三峽區,中山路16號,學校、集會場所或特殊機構,國小,,校門口入口行政大樓1樓川堂(中廊),校門口入口行政大樓1樓川堂,校門口入口行政大樓1樓川堂,24.955652,121.394756,X,07:30,17:30,08:00,16:00,,,有需求請洽警衛室,02-26711018*838
臺南市下營區衛生所,台南市,下營區,營前里中山路二段137號,其他,其他場所,衛生所,,一樓門診,一樓門診等候區近大門口,23.229578,120.263278,X,08:00,17:30,,,,,,06-6892149
台南市和順國小,台南市,安南區,安和路5段178巷5號,學校、集會場所或特殊機構,國小,,,川堂,校門口進入校園第一棟,23.066589,120.21828,X,08:00,16:00,,,,,,063563568#163
彰化縣立埔鹽國民中學,彰化縣,埔鹽鄉,好修村中正路162號,學校、集會場所或特殊機構,國中,,,司令台,司令台右側,24.000014,120.466241,X,06:00,18:00,06:00,18:00,06:00,18:00,,04-8653424
國道高速公路新營服務區北上站,台南市,後壁區,竹新里新厝72號,交通要衝,高速公路服務區,,,國道高速公路新營服務區北上,北上站服務台前方明顯處設置,23.336348,120.309402,X,08:00,21:00,08:00,21:00,08:00,21:00,AED非營業時間仍可使用,06-6323508
高雄市立左營國中,高雄市,左營區,曾子路281號,學校、集會場所或特殊機構,國中,,,輔導室外牆,輔導室外牆,22.679516,120.30688,X,07:30,20:30,08:00,17:00,08:00,17:00,寒暑假時間會有變動。,(07)3433080
彰化縣秀水鄉明正國民小學,彰化縣,秀水鄉,彰水路2段341號,學校、集會場所或特殊機構,國小,,台19線8K100公尺處,健康中心走廊外,明正國小健康中心走廊外,24.026916,120.492838,X,10:00,10:00,10:00,10:00,10:00,10:00,24小時開放,04-7692533*18
高雄巿三信高級家事商業職業學校,高雄市,苓雅區,三多一路186號,學校、集會場所或特殊機構,高中職,,瓊瑤大樓1樓中間樓梯旁,瓊瑤大樓1樓中間樓梯旁,瓊瑤大樓1樓中間樓梯旁,22.622097,120.328857,X,00:01,23:59,00:01,23:59,00:01,23:59,,07-7134057
臺北市稅捐稽徵處,台北市,中正區,北平東路7之2號,其他,其他場所,公家機關(財稅),,前棟1樓東側走廊,前棟1樓東側走廊,25.046835,121.523005,X,09:00,17:00,,,,,假日.六.日不開放,02-23949211
臺北市政府警察局萬華分局西門町派出所,台北市,萬華區,康定路22號1樓,其他,其他場所,公家機關(警察),靠近武昌街2段與康定路路口,值勤臺旁,進入大門口右邊,25.045083,121.502865,X,00:00,23:59,00:00,23:59,00:00,23:59,24小時均有值勤人員,02-23610010
彰化縣福興鄉西勢國民小學,彰化縣,福興鄉,西勢村員鹿路二段412號,學校、集會場所或特殊機構,國小,,西勢國小,學校中廊,學校中廊,24.04404,120.437315,X,00:00,23:59,00:00,23:59,00:00,23:59,全天開放,04-7772317
彰化縣伸港鄉伸仁國民小學,彰化縣,伸港鄉,曾家村曾家路3-15號,學校、集會場所或特殊機構,國小,,,輔導室門旁,"位於本校西側,進入校園教學大樓的入口",24.147272,120.476616,X,07:00,17:00,07:00,17:00,07:00,17:00,,04-7982324
桃園市八德區八德國民小學,桃園市,八德區,興豐路222號,學校、集會場所或特殊機構,國小,,,警衛室,警衛室內側牆面,24.92902,121.283891,X,05:00,19:00,05:00,19:00,05:00,19:00,,03-3682943#33
彰化縣溪湖鎮溪湖國民小學,彰化縣,溪湖鎮,二溪路一段35號,學校、集會場所或特殊機構,國小,,溪徑蜿蜒，湖光璀璨，弘舍巍峨，歷史連綿,溪湖國小大辦公室與特教班間的外面走廊旁,校門正門口走進校園後，穿越學校中廊，於右轉大辦公室與特教班外的走廊處，即可看見AED急救設施。,23.953548,120.471697,X,00:00,00:00,00:00,00:00,00:00,00:00,全天候開放,04-8853126
財團法人國家實驗研究院台灣半導體研究中心台南辦公室,台南市,東區,大學路1號成功大學自強校區奇美樓7樓,學校、集會場所或特殊機構,大專院校,,場所為成功大學自強校區奇美樓七樓,成功大學自強校區奇美樓七樓櫃台旁,成功大學自強校區奇美樓七樓櫃台旁,22.996233,120.222438,X,08:00,18:00,,,,,,(06)2087971轉8102
彰化縣二林鎮原斗國民中小學國中部,彰化縣,二林鎮,原斗里原竹路872號,學校、集會場所或特殊機構,國中,,本校位於二林鎮東南方，位於斗苑路和原竹路交界處，緊鄰原斗國小,健康中心前,位於本校健康中心外側走廊牆壁上。,23.894703,120.426928,X,00:00,00:00,00:00,00:00,00:00,00:00,,04-8904600
臺南市西埔國民小學,台南市,南化區,西埔里117號,學校、集會場所或特殊機構,國小,,,西埔國小戶外閱讀角,西埔國小戶外閱讀角位於校園建築中間位置(廁所旁),23.029928,120.451194,X,07:00,16:00,,,,,,06-5771240#103
彰化縣彰化市忠孝國民小學,彰化縣,彰化市,西勢里忠誠路61號,學校、集會場所或特殊機構,國小,,本校位於彰化市金馬路旁，金馬路上唯一一座人行陸橋即連結本校西側。,本校孝敬樓一樓中走廊,AED安裝於本校孝敬樓一樓中走廊。由本校大門進入後，緊鄰大門圓環右側之大樓即是孝敬樓。安裝位置為本校教學區之中心地帶，旁邊即是本校健康中心。,24.083985,120.532394,X,05:00,22:00,05:00,22:00,05:00,22:00,,0953-092275
交通部臺灣鐵路管理局宜蘭運務段猴硐站,新北市,瑞芳區,柴寮路70號,交通要衝,台鐵車站,,,二樓大廳,二樓大廳售票口前陽台門旁,25.086986,121.827467,X,05:30,23:00,05:30,23:00,05:30,23:00,,224977747
台南市立安平國中,台南市,安平區,慶平路687號,學校、集會場所或特殊機構,國中,,,行政大樓一樓總務處走廊,行政大樓一樓總務處走廊,22.997618,120.168305,X,07:00,21:00,07:00,16:00,,,,(06)2990461
彰化縣埔鹽鄉好修國小,彰化縣,埔鹽鄉,好修村員鹿路二段149號,學校、集會場所或特殊機構,國小,,,校門口中廊樓梯旁,校門口內中廊樓梯旁,24.00722,120.459527,X,00:00,23:55,00:00,23:55,00:00,23:55,,918540182
大西國小,彰化縣,大村鄉,大崙村大崙路10之55號,學校、集會場所或特殊機構,國小,,,大西國小,在大西國小中，大門入口右走，設置靠近辦公室旁。,23.984691,120.525332,X,00:00,23:55,00:00,23:55,00:00,23:55,,04-8522677
雲林縣立樟湖生態國民中小學,雲林縣,古坑鄉,樟湖村石橋50-2號,學校、集會場所或特殊機構,國中,,,辦公室內,放置於辦公室內靠牆走道,23.604001,120.631915,X,08:00,16:00,00:00,00:00,00:00,00:00,,05-5811044
彰化縣永樂國小,彰化縣,埔鹽鄉,永樂村永樂路600號,學校、集會場所或特殊機構,國小,,永樂國小位於彰化縣埔鹽鄉永樂村永樂路600號,學校大門入口廚房門口左側牆壁上,AED置放在大門入口操場跑道旁的廚房門口左側牆壁上，位置明顯方便民眾緊急取用，從大門入口即可看見清楚明顯。,24.000205,120.431587,X,00:00,00:00,00:00,00:00,00:00,00:00,全天候開放使用,04-8652263
臺北市政府警察局萬華分局警備隊,台北市,萬華區,康定路22號4樓,其他,其他場所,公家機關(警察),臺北市政府警察局萬華分局警備隊,警備隊4樓值班台左側,警備隊4樓值班台左側,25.045081,121.502764,X,00:00,23:59,00:00,23:59,00:00,23:59,24小時，全年無休。,02-23610080
中國文化大學推廣教育部 忠孝館,台北市,中正區,忠孝東路1段41號1樓,學校、集會場所或特殊機構,大專院校,,,忠孝分部國際語言中心一樓服務櫃台旁,ILI國際語言中心一樓服務櫃台旁,25.044512,121.525817,X,08:30,23:00,08:30,23:00,08:30,18:00,,02-23567356
臺北市政府警察局信義分局福德街派出所,台北市,信義區,松德路66號,其他,其他場所,公家機關(警察),1樓值班台左後方,1樓值班台後方,值班台左後方,25.03854,121.57612,X,00:00,23:59,00:00,23:59,00:00,23:59,24小時開放,02-27273424
台灣電力股份有限公司訓練所,新北市,新店區,新烏路3段81號,其他,其他場所,台電訓練所,台電訓練所,守衛室,位置於台電訓練所守衛室內,24.903126,121.553342,X,00:00,23:59,00:00,23:59,00:00,23:59,,02-26667216#1664
臺北市政府警察局南港分局玉成派出所,台北市,南港區,向陽路150號,其他,其他場所,公家機關(警察),,受理報案區內,南港分局玉成派出所受理報案區內,25.055028,121.594756,X,00:00,23:59,00:00,23:59,00:00,23:59,24小時開放,02-27886958
彰化縣東和國民小學,彰化縣,田中鎮,山腳路四段188巷109號,學校、集會場所或特殊機構,國小,,位於田中鎮山腳路四段之國民小學,健康中心,健康中心走廊,23.867702,120.606236,X,00:00,23:55,00:00,23:55,00:00,23:55,,04-8742708
高雄市立苓雅國民中學,高雄市,苓雅區,四維三路176號,學校、集會場所或特殊機構,國中,,,操場旁的中央川堂,操場旁的中央川堂,22.61832,120.306327,,08:00,17:00,,,,,,07-3353307
基隆市仁愛區衛生所,基隆市,仁愛區,光一路26號,交通要衝,機場,,,一樓辦公室旁,在一樓辦公室門口旁,25.12591,121.73749,X,08:00,17:30,,,,,,02-24311592
彰化縣員林鎮饒明國民小學,彰化縣,員林鎮,員集路一段131號,學校、集會場所或特殊機構,國小,,位於員林市員集路上，鄰近員林南區公園。,健康中心外,學生健康中心,23.939308,120.575745,X,00:00,00:00,00:00,00:00,00:00,00:00,24小時開放,04-8320059
臺南市將軍區漚汪國民小學,台南市,將軍區,長榮里5鄰4號,學校、集會場所或特殊機構,國小,,,北棟教室一樓東北方-健康中心,北棟教室一樓東北方-健康中心,23.198372,120.159249,X,08:00,16:10,,,,,,955051392
雲林縣立西螺國民中學,雲林縣,西螺鎮,興農西路217號,學校、集會場所或特殊機構,國中,,,健康中心,健康中心前門一進去左側,23.792297,120.460521,X,07:30,17:00,,,,,,05-5863522轉071
臺南市立和順國民中學,台南市,安南區,安和路五段84巷66號,學校、集會場所或特殊機構,國中,,,學務處外走廊,學校風雨球場操場級籃球場的中心點,23.065876,120.220493,X,08:00,17:00,,,,,,06-3551440*126
臺北市立龍門國民中學,台北市,大安區,建國南路2段269號,其他,其他場所,公家機關(教育-國民中學),,龍門國中學務處外,龍門國中學務處,25.024673,121.538208,X,08:00,17:00,,,,,例假日不開放,02-27330299轉1006
高雄市立光華國民中學,高雄市,前鎮區,和平二路170號,學校、集會場所或特殊機構,國中,,,傳達室,大門口旁右邊的傳達室,22.611342,120.322438,X,08:00,17:00,09:00,11:00,14:00,16:00,,07722622*522
彰化縣埤頭鄉中和國民小學,彰化縣,埤頭鄉,溪林路284號,學校、集會場所或特殊機構,國小,,,健康中心外側走廊,辦公室右側，健康中心外側走廊，距校門口約20公尺,23.847372,120.460501,X,00:00,00:00,00:00,00:00,00:00,00:00,,04-8895768
致理科技大學,新北市,板橋區,文化路一段313號,學校、集會場所或特殊機構,大專院校,,本校位於新北市板橋區，鄰近新埔捷運站,綜合大樓左側門口,綜合大樓左側門口,25.02209,121.463453,X,05:30,23:30,05:30,23:30,05:30,23:30,,02-22576167-1211
高雄市翠屏國民中小學,高雄市,楠梓區,翠屏路135號,學校、集會場所或特殊機構,國中,,鄰近都會公園後勁溪旁,行政大樓玄關處,行政大樓玄關處正對校門(學校中心 ),22.728681,120.29951,X,00:00,23:59,00:00,23:59,00:00,23:59,24小時全天開放,07-3683018
僑光科技大學,台中市,西屯區,僑光路100號,學校、集會場所或特殊機構,大專院校,,,僑光館四樓體育室辦公室門口,僑光館四樓體育室辦公室門口,24.180427,120.654259,X,08:00,21:00,00:00,00:00,00:00,00:00,,04-27016855
臺南市立竹橋國民中學,台南市,七股區,義合里74-2號,學校、集會場所或特殊機構,國中,,,一樓走廊,一樓走廊,23.103595,120.138722,X,08:00,16:30,00:00,00:00,00:00,00:00,,7891733
彰化縣立文開國小,彰化縣,鹿港鎮,新宮里文開路60號,學校、集會場所或特殊機構,國小,,,文開國小行政大樓,位於司令台正對面行政大樓一樓中廊，檔案室外公布欄旁。,24.057084,120.429967,X,00:00,00:00,00:00,00:00,00:00,00:00,全年無休,04-7772042*713
彰化縣埤頭鄉合興國民小學,彰化縣,埤頭鄉,彰化縣埤頭鄉合興村文鄉路161號,學校、集會場所或特殊機構,國小,,"1.南下可由溪湖（員林）交流道下高速公路，往溪湖方向接彰水路（台19線，如路線一）（下交流道至本校約15至20分）
2.或由埤頭交流道下高速公路（過員林收費站，如路線二）後西往埤頭方向，走斗苑路，約5至10分到本校。",育英樓穿堂,穿堂鄰校長室牆面,23.89392,120.458723,X,16:00,17:00,00:00,00:00,00:00,00:00,除上課以外時間皆開放使用（晚間不開放）,04-8922844
立錡科技股份有限公司,新竹縣,竹北鄉,台元一街8號14F,其他,其他場所,公司行號,,10F,10F男生廁所外側走道,24.84207,121.017495,X,00:00,23:59,00:00,23:59,00:00,23:59,,03-5526789
國眾大飯店股份有限公司,高雄市,三民區,建國二路268號,旅宿場所,飯店,,,大廳,飯店大廳，櫃檯左前方,22.637695,120.304622,,00:00,23:59,00:00,23:59,00:00,23:59,24H,07-2370117
高雄市立楠梓特殊學校,高雄市,楠梓區,德民路211號,學校、集會場所或特殊機構,高中職,,,穿堂,校門口一進去的左側穿堂，靠近穿堂佈告欄處。,22.728072,120.313548,X,08:00,15:00,,,,,,07-3642007
新北市裕德高級中等學校,新北市,土城區,擺接堡路1號,學校、集會場所或特殊機構,高中職,,,健康中心,健康中心內,24.983012,121.43948,X,08:00,17:30,,,,,,82617889-256
彰化縣芬園鄉寶山國民小學,彰化縣,芬園鄉,彰南路二段36號,學校、集會場所或特殊機構,國小,,放置於健康中心後門走廊旁,健康中心走廊旁,放置於健康中心後門走廊旁,23.986502,120.640062,X,00:00,00:00,00:00,00:00,00:00,00:00,全年無休,049-2525010
彰化縣鹿港鎮頂番國小,彰化縣,鹿港鎮,彰化縣鹿港鎮頂草路1段100號,學校、集會場所或特殊機構,國小,,位於鹿港鎮頂草路1段上之國民小學,彰化縣鹿港鎮頂番國小,守衛室,24.088748,120.479839,X,00:00,00:00,00:00,00:00,00:00,00:00,,937710095
彰化縣立彰泰國民中學,彰化縣,彰化市,自強路357號,學校、集會場所或特殊機構,國中,,彰泰國中大門入口川堂右側牆面(學務處旁),彰泰國中川堂右側,彰泰國中大門入口川堂右側牆面(學務處),24.091449,120.548645,X,07:00,18:00,,,,,,933560503
彰化縣立草湖國民中學,彰化縣,芳苑鄉,彰化縣芳苑鄉草湖村功湖路140號,學校、集會場所或特殊機構,國中,,德馨樓電梯前,後棟德馨樓,德馨樓電梯前,23.959087,120.378436,X,00:00,23:00,00:00,23:30,00:00,23:30,,04-8861051*221
古華花園飯店,桃園市,中壢區,民權路398號,旅宿場所,飯店,,古華花園飯店 - 服務中心櫃檯,服務中心櫃檯,服務中心櫃檯,24.972151,121.205396,X,00:00,00:00,00:00,00:00,00:00,00:00,全日開放,03-281-1818
中部汽車股份有限公司竹山服務廠,南投縣,竹山鎮,集山路三段290號,其他,其他場所,中部豐田汽車,,竹山服務廠顧客休息室,竹山服務廠顧客休息室,23.763368,120.699977,X,08:30,17:30,08:30,17:30,08:30,17:30,,049-2653701
中部汽車股份有限公司太平服務廠,台中市,太平區,太平里太平路741號,其他,其他場所,太平服務廠,,顧客休息室,中部TOYOTA太平服務廠顧客休息室,24.127667,120.709056,X,08:30,17:30,08:30,17:30,08:00,17:30,,04-22700750
維悅酒店,台南市,安平區,慶平路539號,旅宿場所,飯店,,"維悅酒店，慶平路上最美的四星飯店
臨近安平運河畔",維悅酒店LOBBY,"飯店大廳往客梯方向
1F餐廳入口處",22.997221,120.171507,X,00:00,23:59,00:00,23:59,00:00,23:59,全日開放,06-2950888
彰化縣溪湖鎮湖南國民小學,彰化縣,溪湖鎮,大竹里彰水路二段725號,學校、集會場所或特殊機構,國小,,湖南國小中庭走廊,湖南國小中庭走廊,湖南國小中庭走廊,23.949635,120.47992,X,00:00,23:00,00:00,23:00,00:00,23:00,,921717425
臺中市新社區衛生所,台中市,新社區,興社街四段1號,其他,其他場所,衛生所,,臺中市新社區衛生所,衛生所,24.240573,120.809197,X,08:00,17:00,,,,,,25811704
彰化縣源泉國民小學,彰化縣,二水鄉,大園村員集路2段316號,學校、集會場所或特殊機構,國小,,教導處門口,教導處門口,此AED放置於校門口進入至中廊 左側之教導處門口,23.800347,120.642765,X,00:00,00:00,00:00,00:00,00:00,00:00,24小時開放,04-8792304#11
彰化縣大湖國民小學,彰化縣,埤頭鄉,大湖村大湖路260號,學校、集會場所或特殊機構,國小,,"大湖溯源－艱難創校

    大湖國小前身是中和國小大湖分校，於民國四十七年開始招生，當時校舍尚未完成，授課地點是在大湖村仁德宮周公廟廂房，當時學生的座椅是「竹椅」，由張樹林先生擔任籌備主任授課。首屆學生由本學區就讀中和國小、合興國小之學生遷回原學區學校上學，民國五十一年蔡志明先生擔任首屆校長。

    大湖國小校址原是日政時期源成農場講習所，台灣光復後列為公有地，當時鄉村人口眾多，村內士紳積極爭取，配合當時政府推動教育政策籌建學校，建校初期校園地勢低窪、校舍簡陋，村長胡清河先生、鄉民代表黃長興先生、公所課員謝長錦先生、村幹事湛慶南先生，配合閩、客地方耆老發起「義務勞動」，運用農閒時間，利用牛車及人工將校園低窪的土地填高，以利教室及運動場整建。

 

大湖耘夢、蛻變新生－新校舍籌建

    舊校舍於民國七十五年遭逢韋恩颱風災害，民國七十八年配合當時教育部更新舊有教室計畫，經由校長莊細德先生、家長會長劉華雄先生洽請魏肇渠先生協調學校東北角土地地主同意出售，並請埤頭鄉長謝拱樞先生、縣議員許維昌先生，積極爭取縣政府的補助款，連交厝莊清楷先生，本村阿和仔兩兄弟樂意割讓田地和全村家長的捐獻，買下1.3分的擴建校地，學校校地因此而方正完整。美輪美奐的校舍在莊校長的用心規劃下，終告完成。

校地有部分原是屬私人所有土地，民國八十六年經過地方人士的出錢出力協調後完成了所有買賣程序，陳鳳美校長及劉明棟村長配合社區發展協會，在拆除的舊校舍處籌建社區活動中心，增加了學生室內活動空間及集會場所，這所列為偏遠地區的小型學校始具良基，而且與閩、客獨特的鄉村社區融為一體。經過這麼多年來大湖國小日新又新，持續進步與更新，仰賴歷屆的校長及家長會長的互相配合，才能有今日的大湖國小。",學校穿堂,放置於學校穿堂,23.86599,120.452749,X,08:00,16:00,,,,,,08:00-17:00
彰化縣花壇鄉文祥國民小學,彰化縣,花壇鄉,劉厝村明雅街131號,學校、集會場所或特殊機構,國小,,位於花壇鄉明雅街之國民小學,輔導室外,放置於輔導室外走廊牆上,24.025525,120.52678,X,00:00,00:00,00:00,00:00,00:00,00:00,全日開放,周一~周五8:00~16:00
尊爵天際大飯店,桃園市,蘆竹區,南崁路一段108號,旅宿場所,飯店,,緊鄰台茂購物中心，5星級國際觀光飯店,服務中心,一樓大廳入口處右側服務中心櫃台,25.051708,121.288374,X,,,,,,,全日開放,03-2121001
彰化縣花壇鄉僑愛國民小學,彰化縣,花壇鄉,中山路2段471號,學校、集會場所或特殊機構,國小,,中山路2段.靠近監理站並且同側,彰化縣花壇鄉中山路2段471號,學校一樓穿堂靠近校長室的牆壁,24.038488,120.53453,X,00:00,00:00,00:00,00:00,00:00,00:00,AED全天開放,04-7863227
雲林縣古坑鄉華山國民小學,雲林縣,古坑鄉,華山村41號,學校、集會場所或特殊機構,國小,,,健康中心,健康中心,23.595085,120.596701,X,08:00,17:00,,,,,,05-5901243
台東縣立池上國民中學,台東縣,池上鄉,新興村力學路88號,學校、集會場所或特殊機構,國中,,鄰近池上農會碾米廠客家園區,行政大樓穿堂,行政大樓一樓穿堂明顯之處,23.1152,121.204787,X,00:00,23:59,00:00,23:59,00:00,23:59,,988052788
花蓮縣立富源國民中學,花蓮縣,光復鄉,中山路一段2號,學校、集會場所或特殊機構,國中,,,學輔處,放置於學暑處內,23.588937,121.383923,X,08:00,17:00,,,,,,03-8811002
彰化縣田尾鄉仁豐國民國小,彰化縣,田尾鄉,新厝村中正路二段101號,學校、集會場所或特殊機構,國小,,,穿堂,文化走廊與四甲教室的牆壁,23.902508,120.50819,X,08:00,17:00,,,,,,04-8830347
灩妮醫美診所,台北市,大安區,和平東路一段10號3樓,其他,其他場所,醫療場所,,員工休息室,位於員工休息室門口右手邊,25.02685,121.523232,X,13:00,21:30,10:30,19:00,11:30,18:30,,02-23638177
協磁股份有限公司,桃園市,蘆竹區,坑口里三德街15巷14弄10號,其他,其他場所,工廠,,2F 會客室,2F會客室,25.097244,121.265704,X,08:00,18:00,,,,,,0939-910649
台灣人壽台中大樓,台中市,西區,五權路72號,其他,其他場所,辦公場所,,一樓管理室,一樓管理室櫃檯旁,24.146492,120.672632,X,06:00,22:00,06:00,22:00,06:00,22:00,,04-22064253
